Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
0.47,0.6601,0.47,0.6708,0.47,0.6661,0.47,0.6709,0.47,0.7102,0.47,0.7169,0.47,0.4806,0.47,0.4104,0.47,0.6309,0.47,0.5219
0.48,0.6601,0.48,0.6608,0.48,0.6661,0.48,0.6709,0.48,0.7091,0.48,0.7169,0.48,0.4706,0.48,0.4004,0.48,0.6208,0.48,0.5106
0.49,0.6601,0.49,0.661,0.49,0.6661,0.49,0.6709,0.49,0.7085,0.49,0.7069,0.49,0.4605,0.49,0.3883,0.49,0.6108,0.49,0.4994
0.5,0.6601,0.5,0.661,0.5,0.6561,0.5,0.6609,0.5,0.7077,0.5,0.691,0.5,0.4505,0.5,0.3753,0.5,0.6008,0.5,0.4882
0.51,0.6601,0.51,0.6509,0.51,0.651,0.51,0.6608,0.51,0.7051,0.51,0.681,0.51,0.4305,0.51,0.364,0.51,0.5908,0.51,0.4771
0.52,0.6601,0.52,0.6509,0.52,0.651,0.52,0.6508,0.52,0.7022,0.52,0.671,0.52,0.4205,0.52,0.3536,0.52,0.5808,0.52,0.4631
0.53,0.6601,0.53,0.6409,0.53,0.6409,0.53,0.6408,0.53,0.6988,0.53,0.6609,0.53,0.4105,0.53,0.3435,0.53,0.5708,0.53,0.4522
0.54,0.6601,0.54,0.6409,0.54,0.6409,0.54,0.6408,0.54,0.6939,0.54,0.6509,0.54,0.4004,0.54,0.3344,0.54,0.5607,0.54,0.4415
0.55,0.6601,0.55,0.6309,0.55,0.6409,0.55,0.6308,0.55,0.6906,0.55,0.6409,0.55,0.3904,0.55,0.3259,0.55,0.5507,0.55,0.431
0.56,0.6601,0.56,0.6209,0.56,0.6309,0.56,0.6208,0.56,0.6869,0.56,0.6308,0.56,0.3804,0.56,0.3212,0.56,0.5407,0.56,0.4208
0.57,0.6601,0.57,0.6209,0.57,0.6208,0.57,0.6107,0.57,0.68,0.57,0.6208,0.57,0.3703,0.57,0.314,0.57,0.5207,0.57,0.4107
