"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
,,54.000,0,27.000,0
,,54.200,0,27.100,0
,,54.400,0,27.200,0
,,54.600,0,27.300,0
,,54.800,0,27.400,0
,,55.000,1,27.500,0
,,55.200,0,27.600,0
,,55.400,0,27.700,0
,,55.600,0,27.800,0
,,55.800,1,27.900,0
,,56.000,0,28.000,0
,,56.200,0,28.100,0
,,56.400,0,28.200,0
,,56.600,0,28.300,0
,,56.800,0,28.400,0
,,57.000,0,28.500,0
,,57.200,0,28.600,0
,,57.400,0,28.700,0
,,57.600,0,28.800,0
,,57.800,0,28.900,0
,,58.000,0,29.000,0
,,58.200,0,29.100,0
,,58.400,0,29.200,0
,,58.600,0,29.300,0
,,58.800,0,29.400,0
,,59.000,0,29.500,0
,,59.200,0,29.600,0
,,59.400,0,29.700,0
,,59.600,0,29.800,0
,,59.800,0,29.900,0
,,60.000,0,30.000,0
,,60.200,0,30.100,0
,,60.400,0,30.200,0
,,60.600,0,30.300,0
,,60.800,0,30.400,0
,,61.000,0,30.500,0
,,61.200,0,30.600,0
,,61.400,0,30.700,0
,,61.600,0,30.800,0
,,61.800,0,30.900,0
,,62.000,0,31.000,0
,,62.200,0,31.100,0
,,62.400,0,31.200,1
,,62.600,0,31.300,0
,,62.800,0,31.400,0
,,63.000,0,31.500,0
,,63.200,0,31.600,0
,,63.400,0,31.700,0
,,63.600,0,31.800,0
,,63.800,1,31.900,0
,,64.000,0,32.000,0
,,64.200,0,32.100,0
,,64.400,0,32.200,0
,,64.600,0,32.300,1
,,64.800,0,32.400,0
,,65.000,0,32.500,0
,,65.200,0,32.600,0
,,65.400,0,32.700,0
,,65.600,0,32.800,0
,,65.800,1,32.900,0
,,66.000,0,33.000,0
,,66.200,1,33.100,0
,,66.400,0,33.200,0
,,66.600,0,33.300,0
,,66.800,0,33.400,0
,,67.000,0,33.500,0
,,67.200,0,33.600,0
,,67.400,0,33.700,0
,,67.600,0,33.800,0
,,67.800,0,33.900,0
,,68.000,0,34.000,0
,,68.200,0,34.100,0
,,68.400,0,34.200,0
,,68.600,0,34.300,0
,,68.800,0,34.400,0
,,69.000,0,34.500,0
,,69.200,0,34.600,0
,,69.400,0,34.700,0
,,69.600,0,34.800,0
,,69.800,0,34.900,0
,,70.000,0,35.000,0
,,70.200,0,35.100,0
,,70.400,0,35.200,0
,,70.600,0,35.300,0
,,70.800,0,35.400,0
,,71.000,0,35.500,0
,,71.200,1,35.600,0
